cohort_year,reviews,mean_stars,std_stars,mean_text_len,mean_useful,prop_1,prop_2,prop_3,prop_4,prop_5
2004,98,3.469,1.451,562.7,1.439,0.1735,0.0816,0.1735,0.2449,0.3265
2005,3267,3.871,1.023,704.6,2.519,0.0355,0.0618,0.1974,0.4068,0.2984
2006,12534,3.777,1.23,702.9,2.323,0.0769,0.0898,0.1615,0.3227,0.3491
2007,38418,3.761,1.202,741.4,2.481,0.0716,0.0888,0.175,0.3365,0.3281
2008,85882,3.754,1.236,740.0,2.453,0.0796,0.0938,0.1571,0.3314,0.338
2009,146963,3.742,1.3,694.6,1.822,0.0973,0.093,0.1452,0.2999,0.3647
2010,219636,3.772,1.328,662.5,1.678,0.1037,0.0885,0.1336,0.2805,0.3938
2011,311238,3.751,1.393,614.0,1.423,0.1246,0.0862,0.1201,0.2519,0.4172
2012,329901,3.766,1.426,597.7,1.429,0.1342,0.0826,0.1088,0.2322,0.4422
2013,320082,3.764,1.468,559.0,1.199,0.1476,0.0796,0.0981,0.2103,0.4643
2014,320933,3.761,1.504,532.4,1.047,0.1606,0.0754,0.0893,0.1913,0.4834
2015,312318,3.736,1.546,513.0,0.905,0.1765,0.0736,0.0832,0.1712,0.4956
2016,241306,3.715,1.585,505.9,0.82,0.1918,0.0708,0.0756,0.1542,0.5076
2017,152410,3.672,1.614,490.7,0.743,0.2061,0.0703,0.0733,0.1461,0.5042
2018,121084,3.601,1.659,481.1,0.676,0.2301,0.0688,0.0679,0.1366,0.4966
2019,84189,3.53,1.708,470.2,0.566,0.2561,0.0691,0.0609,0.117,0.497
2020,34858,3.438,1.755,459.5,0.419,0.2868,0.0668,0.057,0.1,0.4893
2021,24111,3.186,1.801,483.3,0.312,0.3461,0.0749,0.0583,0.0878,0.4328
2022,1264,2.911,1.869,489.2,0.078,0.4438,0.0609,0.038,0.0546,0.4027
