business_id,name,review_count,avg_stars,pageRank,pr_rank,rc_rank,star_rank
PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,4250,3.0,204.02439211220795,1,2.0,93.0
ytynqOUb3hjKeJfRj5Tshw,Reading Terminal Market,5721,4.5,193.38606653152473,2,1.0,1.0
IkY2ticzHEn4QFn8hQLSWg,Geno's Steaks,3401,2.5,155.3660894428903,3,3.0,96.0
sTPueJEwcRDj7ZJmG7okYA,Jim's South St,2736,3.5,139.01009445711802,4,12.0,84.0
dsfRniRgfbDjC8os848B6A,Bern's Steak House,2924,4.5,133.41742049129496,5,8.0,1.0
3YqUe2FTCQr0pPVK8oCv6Q,Columbia Restaurant,2860,4.0,132.80248990143724,6,10.0,36.0
RQAF6a0akMiot5lZZnMNNw,Dalessandro’s Steaks & Hoagies,2686,4.0,131.5557336760615,7,13.0,36.0
0RuvlgTnKFbX3IK0ZOOocA,Green Eggs Café,2679,4.0,115.47023394003423,8,14.0,36.0
DXDoh8MNrqjtXsZnkuk4hA,Frenchy's Rockaway Grill,2301,4.0,114.90195856896734,9,17.0,36.0
QHWYlmVbLC3K6eglWoHVvA,Datz,3260,4.0,114.42225918871117,10,4.0,36.0
L5LLN0RafiV1Z9cddzvuCw,Ulele,3064,4.0,113.97218526389376,11,7.0,36.0
-mIlmp5l4hKlp1tvHRdvTg,Sonny's Famous Steaks,1697,4.0,107.00679791043412,12,33.0,36.0
6ajnOk0GcY9xbb5Ocaw8Gw,Barbuzzo,2893,4.5,105.79180222434736,13,9.0,1.0
ctHjyadbDQAtUFfkcAFEHw,Zahav,3065,4.5,103.00810259482417,14,6.0,1.0
Ps7Q7BOKzJO4nDTUhbk43Q,Clear Sky Cafe,1824,4.5,100.2398304067377,15,30.0,1.0
-QI8Qi8XWH3D8y8ethnajA,Philadelphia International Airport - PHL,2149,2.5,99.19616993520462,16,21.0,96.0
q-zV08jt6U-q05SMEuQJAQ,The Original Tony Lukes,1910,4.0,97.86872932443167,17,27.0,36.0
9PZxjhTIU7OgPIzuGi89Ew,El Vez,3187,4.0,96.67972936510571,18,5.0,36.0
MWAzAdxacgzj2I64jwv57g,Power Home Remodeling,854,2.0,92.20531902969311,19,89.0,99.0
AGlh4ZDv6jnoiYfz7At9mw,Dim Sum Garden,2672,4.0,91.81940914542517,20,15.0,36.0
j-qtdD55OLfSqfsWuQTDJg,Parc,2761,4.0,88.95775507284236,21,11.0,36.0
LdECsE8lJS7v5GTFTcjPSg,Crabby Bill's Seafood,1398,4.0,87.27370276518549,22,49.0,36.0
dybSe2rNDk1hNMpes9y7Rw,Gate 1 Travel,721,3.5,85.2034428182868,23,95.0,84.0
