business_id,name,review_count,avg_stars,pageRank,rc_rank_in15,pr_rank_in15,rank_diff
PP3BBaVxZLcJU54uP_wL6Q,Pat's King of Steaks,4250,3.0,204.02439211220795,2,1,1
ytynqOUb3hjKeJfRj5Tshw,Reading Terminal Market,5721,4.5,193.38606653152473,1,2,-1
IkY2ticzHEn4QFn8hQLSWg,Geno's Steaks,3401,2.5,155.3660894428903,3,3,0
sTPueJEwcRDj7ZJmG7okYA,Jim's South St,2736,3.5,139.01009445711802,10,4,6
dsfRniRgfbDjC8os848B6A,Bern's Steak House,2924,4.5,133.41742049129496,7,5,2
3YqUe2FTCQr0pPVK8oCv6Q,Columbia Restaurant,2860,4.0,132.80248990143724,9,6,3
RQAF6a0akMiot5lZZnMNNw,Dalessandro’s Steaks & Hoagies,2686,4.0,131.5557336760615,11,7,4
0RuvlgTnKFbX3IK0ZOOocA,Green Eggs Café,2679,4.0,115.47023394003423,12,8,4
DXDoh8MNrqjtXsZnkuk4hA,Frenchy's Rockaway Grill,2301,4.0,114.90195856896734,13,9,4
QHWYlmVbLC3K6eglWoHVvA,Datz,3260,4.0,114.42225918871117,4,10,-6
L5LLN0RafiV1Z9cddzvuCw,Ulele,3064,4.0,113.97218526389376,6,11,-5
-mIlmp5l4hKlp1tvHRdvTg,Sonny's Famous Steaks,1697,4.0,107.00679791043412,15,12,3
6ajnOk0GcY9xbb5Ocaw8Gw,Barbuzzo,2893,4.5,105.79180222434736,8,13,-5
ctHjyadbDQAtUFfkcAFEHw,Zahav,3065,4.5,103.00810259482417,5,14,-9
Ps7Q7BOKzJO4nDTUhbk43Q,Clear Sky Cafe,1824,4.5,100.2398304067377,14,15,-1
