city,category,n_businesses,mean_jaccard,n_pairs
Aston,Automotive,5,0.227,7
Doylestown,Gift Shops,5,0.1883,9
Aston,Shopping,5,0.1877,6
Oldsmar,Discount Store,5,0.186,5
Media,Convenience Stores,8,0.1844,13
Broomall,Convenience Stores,5,0.1833,8
Tampa,Amusement Parks,17,0.1802,65
Port Richey,Home & Garden,9,0.1794,14
Doylestown,Flowers & Gifts,8,0.1728,18
Clearwater,Discount Store,5,0.1687,6
Willow Grove,Home & Garden,5,0.1641,8
Broomall,Health & Medical,5,0.1634,5
Holiday,Automotive,9,0.159,8
New Port Richey,Convenience Stores,9,0.1587,12
Folsom,Food,9,0.158,12
Newtown,Farmers Market,7,0.1567,17
Langhorne,Fashion,9,0.1499,8
Lahaska,Home & Garden,7,0.1432,16
Aston,Delis,6,0.1431,6
Spring Hill,Grocery,12,0.1431,24
Aston,Food,20,0.1426,38
Port Richey,Shopping,34,0.1423,88
Lahaska,Shopping,12,0.1414,29
Tampa,Festivals,33,0.138,123
Plant City,Grocery,7,0.1362,20
Safety Harbor,Active Life,5,0.1356,6
Morrisville,Burgers,5,0.1327,12
Riverview,Gas Stations,7,0.1316,9
New Port Richey,Drugstores,8,0.1307,7
Bala Cynwyd,Mass Media,5,0.1305,8
Bala Cynwyd,Radio Stations,5,0.1305,8
Fairless Hills,Food,10,0.1301,20
Tampa,Pharmacy,6,0.1301,4
Willow Grove,Automotive,5,0.1298,4
Bensalem,Coffee & Tea,7,0.1296,11
Tampa,Discount Store,30,0.1279,46
Clearwater,Women's Clothing,10,0.1276,10
Tampa,Educational Services,5,0.1269,8
Riverview,Convenience Stores,11,0.1259,12
Clearwater,Men's Clothing,7,0.1258,6
Souderton,Shopping,5,0.1247,4
Philadelphia,Mass Media,10,0.1247,17
Feasterville Trevose,Food,7,0.1242,10
Tampa,Libraries,8,0.1233,12
Broomall,Coffee & Tea,6,0.122,5
New Port Richey,Fashion,6,0.1219,6
Morrisville,Fast Food,5,0.1213,8
Collegeville,Shopping,17,0.1212,25
Exton,Fashion,9,0.1196,8
Media,Shopping,31,0.1195,41
Ruskin,Shopping,10,0.1195,18
Broomall,Shopping,6,0.1189,6
Media,Home & Garden,5,0.1185,4
Tampa,Fruits & Veggies,7,0.1183,5
New Port Richey,Shopping,43,0.1183,61
Souderton,Sandwiches,6,0.1174,6
Newtown,Shopping,26,0.1172,42
Pottstown,Fashion,11,0.1164,10
Newtown,Local Services,13,0.116,16
Willow Grove,Electronics,5,0.1159,4
Philadelphia,Festivals,27,0.1159,59
Lansdowne,Shopping,8,0.1152,11
Willow Grove,Mobile Phones,5,0.1146,4
New Port Richey,Local Services,9,0.1146,11
Havertown,Shopping,33,0.1139,52
Palm Harbor,Grocery,9,0.1136,8
Spring Hill,Coffee & Tea,7,0.1135,11
Tampa,Home Decor,36,0.1133,37
Valrico,Shopping,17,0.1132,21
Springfield,Grocery,5,0.1125,5
Oldsmar,Shopping,23,0.1125,22
Dunedin,Fashion,6,0.1118,10
Willow Grove,Local Services,6,0.1117,5
Doylestown,Fashion,8,0.1115,8
Springfield,Food,34,0.1114,56
Morrisville,Food,10,0.1114,14
Palm Harbor,Shopping,50,0.1112,93
Spring Hill,Local Services,6,0.1109,7
Valrico,Coffee & Tea,8,0.1104,6
Clearwater,Parks,5,0.1103,4
Phoenixville,Drugstores,5,0.1101,5
Glen Mills,Automotive,6,0.1092,4
Ruskin,Automotive,10,0.1091,18
Brookhaven,Food,18,0.1089,34
Doylestown,Grocery,5,0.1088,9
Gulfport,Shopping,6,0.1087,5
Springfield,Department Stores,7,0.1081,10
Pinellas Park,Grocery,12,0.108,12
Brandon,Cannabis Clinics,5,0.1077,7
North Wales,Department Stores,7,0.1071,8
St. Petersburg,Women's Clothing,9,0.107,16
Philadelphia,Art Galleries,51,0.1069,66
Media,Delis,6,0.1069,7
Port Richey,Burgers,6,0.1069,8
Bensalem,Local Services,9,0.1067,8
Media,Home Services,6,0.1066,6
Folsom,Shopping,8,0.1065,7
Springfield,Coffee & Tea,5,0.1064,3
Clearwater,Department Stores,20,0.1062,28
Clearwater,Fashion,39,0.1062,59
Tampa,Public Services & Government,31,0.1057,37
Eddystone,Restaurants,5,0.1052,7
Tampa,Department Stores,61,0.1051,125
Spring Hill,Fashion,7,0.1051,11
New Port Richey,Fast Food,26,0.1051,43
Philadelphia,Discount Store,15,0.105,15
Tampa,Convenience Stores,49,0.1048,55
Glenside,Local Services,5,0.1048,10
Saint Petersburg,Discount Store,6,0.1038,7
Langhorne,Local Services,7,0.1036,7
Clearwater,Convenience Stores,11,0.1035,11
Feasterville Trevose,Shopping,11,0.1034,12
Wesley Chapel,Fashion,14,0.1034,16
Holiday,Shopping,7,0.1033,6
New Port Richey,Grocery,9,0.1033,9
Feasterville,Shopping,6,0.1031,4
Largo,Drugstores,7,0.103,10
Aston,Beauty & Spas,6,0.1029,3
Palm Harbor,Drugstores,5,0.1029,4
Fairless Hills,Fast Food,6,0.1026,6
Tarpon Springs,Cosmetics & Beauty Supply,5,0.1024,5
Plant City,Automotive,6,0.1024,6
Plant City,Health & Medical,6,0.1024,9
Philadelphia,Train Stations,7,0.1023,11
Aston,American (Traditional),6,0.102,6
Valrico,Grocery,5,0.102,8
Holiday,Food,17,0.1017,31
Port Richey,Food,29,0.1017,45
Philadelphia,Public Transportation,9,0.1016,11
Hudson,Grocery,7,0.1015,6
Doylestown,Event Planning & Services,10,0.1013,11
Dunedin,Home & Garden,6,0.1008,4
Newtown,Coffee & Tea,12,0.1008,14
Levittown,Automotive,10,0.1005,11
Bensalem,Fashion,5,0.1003,5
Bensalem,Shopping,27,0.1003,32
Doylestown,Home & Garden,14,0.1001,19
Lutz,Fashion,7,0.1001,6
Doylestown,Shopping,80,0.0997,197
Tampa,Hospitals,7,0.0995,7
Chadds Ford,Shopping,5,0.0995,5
St. Petersburg,Breweries,5,0.0993,6
Bensalem,Home & Garden,6,0.0993,4
Drexel Hill,Food,21,0.0992,29
Spring Hill,Shopping,36,0.0991,74
Ruskin,Mexican,7,0.0988,9
Springfield,Home & Garden,10,0.0986,12
Lutz,Home & Garden,10,0.0984,8
Royersford,Shopping,15,0.0983,16
Philadelphia,Churches,8,0.0983,10
Brandon,Women's Clothing,9,0.0983,7
Springfield,Health & Medical,9,0.0982,7
Tampa,Watches,5,0.0981,7
Plant City,Shopping,21,0.0979,45
Broomall,Food,34,0.0974,69
Horsham,Home Services,6,0.0974,6
Hatboro,Shopping,11,0.0973,10
Philadelphia,Videos & Video Game Rental,10,0.0973,9
Wyncote,Shopping,8,0.0971,13
Tarpon Springs,Shopping,50,0.0971,62
Tampa,Gas Stations,28,0.0971,32
Media,Fast Food,6,0.0968,4
St. Petersburg,Fashion,17,0.0967,26
North Wales,Shopping,35,0.0967,52
Glen Mills,Shopping,19,0.0967,25
Riverview,Grocery,12,0.0966,15
Hudson,Shopping,7,0.0964,6
Lansdowne,Food,14,0.0961,31
Tampa,Shipping Centers,8,0.096,7
Hudson,Burgers,5,0.0958,9
Tampa,Diagnostic Services,6,0.0957,5
Pottstown,Shopping,36,0.0957,72
Tampa,Drugstores,37,0.0956,44
Harleysville,Shopping,5,0.0956,4
Valrico,Health & Medical,8,0.0956,6
Souderton,Food,20,0.0955,37
New Port Richey,Home & Garden,6,0.0954,3
Saint Petersburg,Convenience Stores,11,0.0952,11
New Port Richey,Burgers,12,0.0951,10
Levittown,Fast Food,5,0.095,5
Norristown,Chinese,6,0.0949,5
Perkasie,Food,13,0.0949,28
Newtown,Food,66,0.0948,218
Brandon,Shoe Stores,6,0.0948,4
Boothwyn,Food,7,0.0948,8
Odessa,Food,14,0.0946,13
Bristol,Coffee & Tea,6,0.0944,4
Brandon,Men's Clothing,8,0.0943,7
Tampa,Men's Clothing,38,0.0942,49
Pottstown,Fast Food,10,0.0941,16
Spring Hill,Fast Food,22,0.094,53
Port Richey,Fast Food,12,0.0939,20
Saint Petersburg,Department Stores,6,0.0938,6
Media,Food,67,0.0936,160
Bensalem,Grocery,6,0.0936,5
Tampa,Florists,7,0.0936,5
South Pasadena,Shopping,6,0.0936,6
Philadelphia,Religious Organizations,12,0.0934,13
Spring Hill,Sandwiches,8,0.0934,7
Wesley Chapel,Doctors,15,0.0932,13
St. Petersburg,Thrift Stores,9,0.0931,12
Philadelphia,Boxing,5,0.093,5
Levittown,Chinese,9,0.093,15
Langhorne,Shopping,35,0.0929,35
Media,Health & Medical,16,0.0928,15
Largo,Convenience Stores,7,0.0928,7
Philadelphia,Pop-Up Restaurants,5,0.0928,7
Eddystone,Food,5,0.0927,7
Tampa,Food Stands,10,0.0925,9
Tampa,Education,19,0.0924,20
Tampa,Arts & Crafts,19,0.0923,16
West Chester,Breweries,6,0.0922,5
Norristown,Mexican,21,0.0922,95
Norristown,Coffee & Tea,5,0.0921,5
Media,Coffee & Tea,17,0.0921,24
Riverview,Home & Garden,5,0.0921,6
Philadelphia,Art Classes,5,0.092,5
King of Prussia,Cosmetics & Beauty Supply,6,0.0918,4
Upper Darby,Nightlife,8,0.0918,7
Springfield,Shopping,45,0.0917,75
Spring Hill,Arts & Entertainment,7,0.0917,5
Folsom,Pizza,11,0.0916,16
Havertown,Sandwiches,11,0.0914,9
Swarthmore,Shopping,5,0.0913,4
Philadelphia,Gas Stations,5,0.0913,7
Philadelphia,Dog Parks,9,0.0912,11
Brandon,Fashion,39,0.0911,53
Newtown,Home Services,9,0.0909,8
Tampa,Children's Clothing,12,0.0908,11
Clearwater,Books,5,0.0907,4
Clearwater,Music & Video,5,0.0907,4
Tampa,Fashion,220,0.0907,421
Clearwater,Mags,5,0.0907,4
Newtown,Specialty Food,12,0.0906,22
Pinellas Park,Health & Medical,12,0.0905,9
Wayne,Shopping,19,0.0905,17
Philadelphia,Notaries,5,0.0904,4
Dunedin,Shopping,42,0.0903,54
Lutz,Fast Food,12,0.0902,22
Tampa,Grocery,116,0.0902,229
Seminole,Shopping,18,0.09,20
Tampa,Notaries,6,0.09,5
Tampa,Printing Services,14,0.0898,14
Tampa,Sporting Goods,35,0.0897,43
Gibsonton,Food,5,0.0897,4
Exton,Home Services,5,0.0895,4
Clifton Heights,Food,13,0.0895,13
Pinellas Park,Active Life,8,0.0894,5
Philadelphia,International Grocery,8,0.0893,9
Tampa,Sports Wear,9,0.0891,10
Tampa,Women's Clothing,64,0.0891,88
Wesley Chapel,Department Stores,10,0.0889,11
Newtown Square,Shopping,11,0.0889,11
Royersford,Convenience Stores,5,0.0889,3
Tampa,Meat Shops,11,0.0889,9
Tarpon Springs,Breweries,6,0.0888,16
Saint Petersburg,Drugstores,6,0.0885,5
Dunedin,Breweries,10,0.0885,33
Tampa,Pediatric Dentists,6,0.0882,5
Tampa,Shopping Centers,8,0.0882,17
Largo,Grocery,18,0.0881,32
Brandon,Department Stores,19,0.0881,18
Pottstown,Coffee & Tea,11,0.088,11
New Port Richey,Active Life,12,0.088,11
Glen Mills,Food,21,0.0879,32
Riverview,Home Services,15,0.0879,11
Springfield,Fashion,12,0.0878,16
Spring Hill,Burgers,15,0.0877,25
Saint Petersburg,Real Estate,9,0.0877,7
Valrico,Food,36,0.0877,94
Bensalem,Food,56,0.0875,98
Saint Petersburg,Breweries,9,0.0875,36
Tampa,Mobile Phone Accessories,5,0.0873,4
North Wales,Fashion,13,0.0871,16
Philadelphia,Fabric Stores,10,0.0871,14
Riverview,Shopping,37,0.0871,39
Hudson,Fast Food,8,0.0871,11
Boothwyn,Restaurants,17,0.0871,34
Valrico,Fast Food,10,0.087,15
King of Prussia,Kitchen & Bath,6,0.087,5
Spring House,Shopping,5,0.0867,6
Prospect Park,Sandwiches,6,0.0866,5
Tampa,International Grocery,11,0.0865,17
Apollo Beach,American (New),7,0.0865,12
Spring Hill,Bars,14,0.0864,25
Tampa,Shoe Stores,14,0.0864,11
